env_type;sex_type;init_p_sex;grid_size;patches;p_e_change;e_step;min_env;max_env;m;rho;dims;sigma_e;microsites;d;r;demogr_cost;traits;trait_loci;sex_loci;sigma_z;mu;mu_sex;omega_e;run;time;patch;N;p_sex_mean;p_sex_var;fitness_mean;fitness_var;abs_fitness_mean;load_mean;load_var;S_mean;S_var;residence_distinct;residence_div;distinct_pop;div_pop;dim_tr1;e_dim_tr1;genotype_mean_tr1;genotype_var_tr1;phenotype_mean_tr1;phenotype_var_tr1;fitness_mean_tr1;fitness_var_tr1;genotype_meta_var_tr1;phenotype_meta_var_tr1;dim_tr2;e_dim_tr2;genotype_mean_tr2;genotype_var_tr2;phenotype_mean_tr2;phenotype_var_tr2;fitness_mean_tr2;fitness_var_tr2;genotype_meta_var_tr2;phenotype_meta_var_tr2
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;5000;4;600;0.000000;0.000000;0.245261;0.057307;0.244451;0.754739;0.057307;0.557268;0.000000;1.000000;1.000000;16.000000;5.438559;1;0.446909;0.411500;0.000451;0.413762;0.000539;0.459410;0.089958;0.000624;0.000664;1;0.446909;0.419917;0.000599;0.420190;0.000679;0.546611;0.119344;0.000627;0.000691
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;6000;1;600;0.000000;0.000000;0.904882;0.007775;0.904446;0.095118;0.007775;0.005995;0.000000;1.000000;1.000000;42.000000;10.791367;1;0.346909;0.349833;0.000008;0.347386;0.000087;0.949859;0.004511;0.000030;0.000099;1;0.346909;0.349833;0.000008;0.346949;0.000083;0.952116;0.004017;0.000027;0.000096
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;6000;2;600;0.000000;0.000000;0.890440;0.016667;0.890256;0.109560;0.016667;0.024544;0.000000;1.000000;1.000000;49.000000;7.402229;1;0.346909;0.349000;0.000049;0.346346;0.000113;0.942071;0.010587;0.000030;0.000099;1;0.346909;0.349833;0.000017;0.347300;0.000101;0.944682;0.007945;0.000027;0.000096
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;6000;3;600;0.000000;0.000000;0.905679;0.009658;0.905452;0.094321;0.009658;0.010101;0.000000;1.000000;1.000000;28.000000;1.705741;1;0.346909;0.349667;0.000017;0.346814;0.000091;0.949971;0.006089;0.000030;0.000099;1;0.346909;0.349917;0.000004;0.347406;0.000081;0.952944;0.004079;0.000027;0.000096
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;6000;4;600;0.000000;0.000000;0.886804;0.017192;0.886712;0.113196;0.017192;0.023571;0.000000;1.000000;1.000000;33.000000;6.423295;1;0.346909;0.349083;0.000045;0.347241;0.000104;0.944218;0.007481;0.000030;0.000099;1;0.346909;0.348417;0.000077;0.346661;0.000118;0.938702;0.011376;0.000027;0.000096
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;7000;1;600;0.000000;0.000000;0.817861;0.023061;0.817067;0.182139;0.023061;0.112155;0.000000;1.000000;1.000000;34.000000;2.117747;1;0.286909;0.299833;0.000008;0.295852;0.000095;0.905981;0.013919;0.000004;0.000101;1;0.286909;0.299917;0.000004;0.296573;0.000089;0.900094;0.011536;0.000004;0.000094
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;7000;2;600;0.000000;0.000000;0.795457;0.024845;0.795335;0.204543;0.024845;0.132186;0.000000;1.000000;1.000000;25.000000;3.143501;1;0.286909;0.300000;0.000000;0.297394;0.000099;0.887884;0.015050;0.000004;0.000101;1;0.286909;0.300000;0.000000;0.297054;0.000092;0.894405;0.013542;0.000004;0.000094
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;7000;3;600;0.000000;0.000000;0.811394;0.023846;0.811235;0.188606;0.023846;0.121085;0.000000;1.000000;1.000000;28.000000;1.900077;1;0.286909;0.300000;0.000000;0.296116;0.000094;0.903030;0.013479;0.000004;0.000101;1;0.286909;0.300000;0.000008;0.296477;0.000104;0.897013;0.013933;0.000004;0.000094
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;7000;4;600;0.000000;0.000000;0.810318;0.026876;0.810041;0.189682;0.026876;0.130949;0.000000;1.000000;1.000000;28.000000;2.440943;1;0.286909;0.300167;0.000008;0.296328;0.000113;0.897555;0.016848;0.000004;0.000101;1;0.286909;0.299917;0.000004;0.296609;0.000091;0.900277;0.013598;0.000004;0.000094
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;8000;1;600;0.000000;0.000000;0.800450;0.025347;0.799876;0.199550;0.025347;0.118374;0.000002;1.000000;1.000000;45.000000;9.218006;1;0.386909;0.400083;0.000004;0.396949;0.000104;0.891561;0.015164;0.000002;0.000098;1;0.386909;0.399333;0.000033;0.396209;0.000109;0.894767;0.014019;0.000016;0.000105
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;8000;2;600;0.000000;0.000000;0.807062;0.022426;0.805498;0.192938;0.022426;0.121032;0.000000;1.000000;1.000000;35.000000;2.530364;1;0.386909;0.400000;0.000000;0.396946;0.000085;0.898292;0.012183;0.000002;0.000098;1;0.386909;0.399917;0.000004;0.396961;0.000093;0.895745;0.013950;0.000016;0.000105
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;8000;3;600;0.000000;0.000000;0.798716;0.024035;0.798108;0.201284;0.024035;0.111564;0.000001;1.000000;1.000000;37.000000;3.261283;1;0.386909;0.400000;0.000000;0.397239;0.000097;0.890503;0.014928;0.000002;0.000098;1;0.386909;0.399667;0.000017;0.396247;0.000106;0.895999;0.013923;0.000016;0.000105
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;8000;4;600;0.000000;0.000000;0.798349;0.026817;0.798312;0.201651;0.026817;0.127266;0.000000;1.000000;1.000000;51.000000;11.586740;1;0.386909;0.400083;0.000004;0.396988;0.000104;0.891221;0.016371;0.000002;0.000098;1;0.386909;0.400000;0.000008;0.396477;0.000111;0.894605;0.015886;0.000016;0.000105
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;9000;1;600;0.000000;0.000000;0.786381;0.022538;0.785623;0.213619;0.022538;0.118494;0.000000;1.000000;1.000000;16.000000;1.100023;1;0.286909;0.299917;0.000004;0.298155;0.000074;0.890692;0.012861;0.000008;0.000081;1;0.286909;0.299833;0.000008;0.298781;0.000080;0.880334;0.013848;0.000013;0.000081
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;9000;2;600;0.000000;0.000000;0.783068;0.019690;0.781036;0.216932;0.019690;0.111809;0.000000;1.000000;1.000000;24.000000;1.758895;1;0.286909;0.300000;0.000000;0.298776;0.000080;0.879522;0.013013;0.000008;0.000081;1;0.286909;0.300000;0.000000;0.298466;0.000071;0.888260;0.012379;0.000013;0.000081
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;9000;3;600;0.000000;0.000000;0.764522;0.022220;0.764237;0.235478;0.022220;0.112938;0.000000;1.000000;1.000000;14.000000;2.270921;1;0.286909;0.299667;0.000017;0.298987;0.000083;0.875687;0.013649;0.000008;0.000081;1;0.286909;0.299833;0.000008;0.299189;0.000086;0.872992;0.015210;0.000013;0.000081
